Content,Video title,Video publish time,Views,Impressions,Impressions click-through rate (%),Average view duration
OzGRu9au97I,Python: Diccionarios y cómo buscar valores en ellos (Básico),"Apr 19, 2017",18782,21428,10.63,0:02:15
fJvAgRTH488,🤖 ¿Cómo subir imágenes en Google colab? | Dataset imágenes | ¡Muy fácil! |Python,"Dec 27, 2019",18773,45370,7.52,0:03:38
5V4812QMEvs,"Ecuación Bernoulli | Análisis Dimensional | Despejes V, P | ¡Muy básico!","Jul 27, 2018",18755,14821,14.96,0:02:28
Cg15OAX4IPg,"Calculadora científica: Conversión de grados, minutos, segundos a decimales","Apr 25, 2016",18752,21562,9.08,0:01:15
4UTHNpiL-Mk,Abrir archivos de QT Designer en Python: P2 Ejecutando la aplicación en Spyder (Básico),"Aug 6, 2017",18733,29558,8.69,0:02:07
SmlXF6Z1CXo,Excepciones│Try │Except │Python │Atrapar errores│Básico,"Oct 31, 2017",18732,35506,15.28,0:03:06
yzbZI3B3W24,🧮 Estadísticas Básicas  |  Calculadora científica | Casio fx-991ES PLUS,"Jul 19, 2019",18631,60600,9.26,0:02:30
KRsDwEpzu0U,Trabalenguas│¿Qué tan rápido los puedes decir │Segunda parte│,"Oct 1, 2017",18448,2229,6.01,0:01:16
g_eKp3x3oco,Máximos y Mínimos Aplicación: Diseño de envase cilíndrico (Básico),"Jun 9, 2015",18413,16720,7.52,0:02:54
865Q41omqPk,Pandas + QT Designer| Python | PyQT5 | Pandas | Matplotlib | P4 |¡Muy básico!,"Dec 28, 2017",18189,40408,5.9,0:03:19
v4VeKRxQ9sU,🧮 Conversión de unidades | Ejemplos resueltos | Método del factor unitario | ¡Muy Fácil!,"Aug 21, 2020",17993,31474,13.37,0:03:24
hQz6vJZH2vU,Convertir números a letras│Python │Arreglos a listas│¡Muy fácil!,"Oct 26, 2017",17834,12879,11.31,0:01:25
0nUF_oftd5k,Python desde Cero: ¿Cómo regresar al inicio de un ciclo While? (Continue/Pass),"Mar 12, 2017",17815,18498,13.32,0:02:06
aw1MrpAhKSc,Pandas para Python: Exportar a archivo CSV (Muy Básico),"Jul 9, 2017",17799,38372,4.79,0:02:55
7u-MUbyeBeI,Pendientes: Rectas paralelas y perpendiculares,"Nov 2, 2016",17562,15361,12.41,0:02:11
310Ro2-C7D4,Aplicación de ecuaciones lineales: Demanda (Básico),"Apr 17, 2016",17486,7037,5,0:02:21
